,name,handle,x,y,bestFitY,r2
195,Amanda RISHWORTH,AmandaRishworth,29756,53655,26354.113003826948,0.058261668430515
196,Sarah HENDERSON,SenSHenderson,30067,43017,26359.146396717842,0.058261668430515
197,Karen ANDREWS,karenandrewsmp,34821,44634,26436.087714413436,0.058261668430515
198,Jason SCANES,LaborWide,35022,20418,26439.340807568,0.058261668430515
199,Mike KELLY,MikeKellyofEM,35847,38878,26452.69305559048,0.058261668430515
200,Julia BANKS,juliahbanks,36485,13367,26463.018794061198,0.058261668430515
201,Alan TUDGE,AlanTudgeMP,38057,54744,26488.460895747667,0.058261668430515
202,Tim HOLLO,timhollo,38601,20144,26497.265287170972,0.058261668430515
203,Joanne RYAN,JoanneRyanLalor,39580,48332,26513.109954824315,0.058261668430515
204,Michael McCORMACK,M_McCormackMP,42926,60493,26567.263435894874,0.058261668430515
205,Richard MARLES,RichardMarlesMP,42929,47010,26567.31198952405,0.058261668430515
206,Kate THWAITES,ThwaitesKate,46233,41086,26620.785719786192,0.058261668430515
207,Clare O'NEIL,ClareONeilMP,47140,43310,26635.46510033939,0.058261668430515
208,Patrick GORMAN,PatrickGormanMP,56217,30207,26782.37219767277,0.058261668430515
209,Ken WYATT,KenWyattMP,58260,36735,26815.43721913934,0.058261668430515
210,Rebekha SHARKIE,MakeMayoMatter,58707,38525,26822.671709886064,0.058261668430515
211,Barnaby JOYCE,Barnaby_Joyce,60467,53348,26851.156505667353,0.058261668430515
212,Matt THISTLETHWAITE,MThistlethwaite,63795,42629,26905.018664962878,0.058261668430515
213,Tim WILSON,TimWilsonMP,70103,52320,27007.1107625699,0.058261668430515
214,Anika WELLS,AnikaWells,70580,34434,27014.830789608353,0.058261668430515
215,Rob MITCHELL,RobMitchellMP,72896,37911,27052.31419132964,0.058261668430515
216,Michelle ROWLAND,MRowlandMP,77797,43901,27131.634636854687,0.058261668430515
217,Julie COLLINS,JulieCollinsMP,83374,30911,27221.895833486644,0.058261668430515
218,Dave SHARMA,DaveSharma,85295,42575,27252.986340700194,0.058261668430515
219,Brian MITCHELL,BrianMitchellMP,100710,26091,27502.471071932323,0.058261668430515
220,Joel FITZGIBBON,fitzhunter,101379,38331,27513.298531237822,0.058261668430515
221,Ali FRANCE,alifrance5,101657,30370,27517.797834207824,0.058261668430515
222,Peta MURPHY,petajan,102116,37301,27525.226539471238,0.058261668430515
223,Peter DUTTON,PeterDutton_MP,121347,44528,27836.471487010975,0.058261668430515
224,Darren CHESTER,DarrenChesterMP,121535,52202,27839.514181105795,0.058261668430515
225,Greg HUNT,GregHuntMP,124633,45293,27889.653895498082,0.058261668430515
226,Catherine KING,CatherineKingMP,149020,49077,28284.346347042545,0.058261668430515
227,Jason BALL,jasonballau,156602,22573,28407.057552504888,0.058261668430515
228,Tim WATTS,TimWattsMP,158659,47942,28440.349157574266,0.058261668430515
229,Andrew GILES,andrewjgiles,159781,55467,28458.508214884838,0.058261668430515
230,Helen HAINES,helenhainesindi,160984,32664,28477.97822018307,0.058261668430515
231,Terri BUTLER,terrimbutler,165050,30836,28543.784572255066,0.058261668430515
232,Brendan O'CONNOR,BOConnorMP,165738,47398,28554.91953787866,0.058261668430515
233,Kerryn PHELPS,drkerrynphelps,166886,29109,28573.499393308728,0.058261668430515
234,Jason CLARE,JasonClareMP,174325,46689,28693.89620911384,0.058261668430515
235,Stella YEE,Stella4Menzies,174565,29539,28697.780499447654,0.058261668430515
236,Warren MUNDINE,nyunggai,176462,31427,28728.482577627823,0.058261668430515
