,name,handle,x,y,bestFitY,r2
101,Sally MILBOURNE,milbourne_sally,176,1654,21956.352042871527,0.194752215670755
102,Vickie JANSON,VickiePolitics,187,1614,22007.98601075645,0.194752215670755
103,Grant SCHULTZ,GrantschultzNSW,188,7585,22012.680007836894,0.194752215670755
104,Anne CHARLTON,anne_charlton,190,32761,22022.068001997788,0.194752215670755
105,Steve BLYTH,blyth_steve,212,1342,22125.33593776763,0.194752215670755
106,Susan MOYLAN,smoylancoombs,231,1111,22214.521882296132,0.194752215670755
107,Ali FRANCE,alifrance5,233,30370,22223.90987645703,0.194752215670755
108,Ruby O'ROURKE,SHE_RubyORourke,235,1108,22233.297870617924,0.194752215670755
109,Ken O'DOWD,KenODowdMP,238,33894,22247.379861859266,0.194752215670755
110,Bridget ARCHER,bridgetarcher,242,29094,22266.155850181058,0.194752215670755
111,Michelle LANDRY,mlandryMP,242,36163,22266.155850181058,0.194752215670755
112,David COLEMAN,DavidColemanMP,279,46709,22439.83374215761,0.194752215670755
113,Chris ATLEE,chris_atlee,283,31177,22458.609730479402,0.194752215670755
114,Kate ASHMOR,KateAshmor,295,36283,22514.93769544477,0.194752215670755
115,Yvonne LANGENBERG,Yvonne4NE,295,12410,22514.93769544477,0.194752215670755
116,Keith PITT,keithjpitt,310,42374,22585.347651651482,0.194752215670755
117,Kate THWAITES,ThwaitesKate,310,41086,22585.347651651482,0.194752215670755
118,Aaron HAMMOND,AaronHammondSP,317,3240,22618.205631214612,0.194752215670755
119,Tony PASIN,TonyPasin,338,61155,22716.779569904007,0.194752215670755
120,Christian PORTER,cporterwa,339,43689,22721.473566984456,0.194752215670755
121,Vivek SINGHA,Vivek__Singha,341,28441,22730.86156114535,0.194752215670755
122,Russell BROADBENT,BroadbentMP,361,46501,22824.7415027543,0.194752215670755
123,Phillip THOMPSON,P_Thompson88,402,34112,23017.195383052644,0.194752215670755
124,Dan TEHAN,DanTehanWannon,407,53094,23040.66536845488,0.194752215670755
125,Kieran DRABSCH,FairGoForFarrer,409,14236,23050.053362615774,0.194752215670755
126,Kath LARKIN,RowanRamseyMP,412,4125,23064.135353857117,0.194752215670755
127,Des HARDMAN,Des_Hardman,425,27008,23125.157315902936,0.194752215670755
128,Mark DREYFUS,markdreyfusQCMP,433,43364,23162.709292546515,0.194752215670755
129,Graham McFARLAND,ABFforGreenway,472,2072,23345.77517868396,0.194752215670755
130,Alicia PAYNE,AliciaPayneMP,481,34989,23388.02115240799,0.194752215670755
131,Shaun OSBORN,shaunosborn1,486,38753,23411.491137810226,0.194752215670755
132,Rob TABER,Rob_Taber,515,3702,23547.617053143204,0.194752215670755
133,Daniel BRYAR,BryarDaniel,516,9330,23552.31105022365,0.194752215670755
134,Jason WOOD,JasonWood_MP,518,45123,23561.699044384543,0.194752215670755
135,Josh BURNS,joshburnsmp,520,30855,23571.08703854544,0.194752215670755
136,Fiona MARTIN,FionaMartinMP,526,45288,23599.251021028125,0.194752215670755
137,John ALEXANDER,JAforBennelong,528,48942,23608.63901518902,0.194752215670755
138,Kerryn PHELPS,drkerrynphelps,550,29109,23711.906950958863,0.194752215670755
139,Johnathan DAVIS,jdaviscbr,557,12168,23744.764930521993,0.194752215670755
140,Julian LEESER,JulianLeeser,601,53741,23951.30080206168,0.194752215670755
141,James STEVENS,James_Stevens,671,55490,24279.880597693,0.194752215670755
142,Max CHANDLER-MATHER,MChandlerMather,684,23562,24340.902559738817,0.194752215670755
143,Nerilee BOSHAMMER,nezziebee82,716,11645,24491.110466313134,0.194752215670755
144,Rob FORSTER,RobertForster3,742,2495,24613.15439040477,0.194752215670755
145,Warren MUNDINE,nyunggai,775,31427,24768.056294059534,0.194752215670755
146,Zali STEGGALL,zalisteggall,776,40034,24772.75029113998,0.194752215670755
147,Daniel MULINO,DanielMulinoMP,793,46709,24852.548241507586,0.194752215670755
