,name,handle,x,y,bestFitY,r2
215,Joel FITZGIBBON,fitzhunter,3265,38331,35628.43478112073,0.157753922658734
216,Libby COKER,LibbyCokerMP,3267,36047,35638.81235801309,0.157753922658734
217,Paul FLETCHER,PaulFletcherMP,3267,58007,35638.81235801309,0.157753922658734
218,Madeleine KING,MadeleineMHKing,3268,35875,35644.00114645927,0.157753922658734
219,Julie COLLINS,JulieCollinsMP,3269,30911,35649.189934905444,0.157753922658734
220,Terri BUTLER,terrimbutler,3272,30836,35664.756300243986,0.157753922658734
221,Matt THISTLETHWAITE,MThistlethwaite,3276,42629,35685.5114540287,0.157753922658734
222,Peta MURPHY,petajan,3276,37301,35685.5114540287,0.157753922658734
223,Seamus LEE,seamus_polsci,3276,4633,35685.5114540287,0.157753922658734
224,Catherine KING,CatherineKingMP,3277,49077,35690.70024247488,0.157753922658734
225,Darren CHESTER,DarrenChesterMP,3281,52202,35711.4553962596,0.157753922658734
226,Joanne RYAN,JoanneRyanLalor,3282,48332,35716.64418470577,0.157753922658734
227,Josh WILSON,Josh4Freo,3287,34636,35742.588126936666,0.157753922658734
228,Tanya PLIBERSEK,tanya_plibersek,3290,46850,35758.1544922752,0.157753922658734
229,Ged KEARNEY,gedkearney,3292,45601,35768.53206916756,0.157753922658734
230,Kerryn PHELPS,drkerrynphelps,3295,29109,35784.09843450609,0.157753922658734
231,Stephen JONES,StephenJonesMP,3296,50102,35789.28722295227,0.157753922658734
232,Rob FORSTER,RobertForster3,3298,2495,35799.66479984463,0.157753922658734
233,Zali STEGGALL,zalisteggall,3298,40034,35799.66479984463,0.157753922658734
234,Matt KEOGH,mattkeogh,3299,36058,35804.8535882908,0.157753922658734
235,Ray KINGSTON,MalleeRay,3302,8621,35820.419953629345,0.157753922658734
236,Jason CLARE,JasonClareMP,3304,46689,35830.7975305217,0.157753922658734
237,Michael McCORMACK,M_McCormackMP,3306,60493,35841.175107414056,0.157753922658734
238,Patrick GORMAN,PatrickGormanMP,3308,30207,35851.552684306414,0.157753922658734
239,Warren MUNDINE,nyunggai,3309,31427,35856.74147275259,0.157753922658734
240,Andrew LEIGH,ALeighMP,3310,38864,35861.930261198766,0.157753922658734
241,Sarah HENDERSON,SenSHenderson,3310,43017,35861.930261198766,0.157753922658734
242,Roger WOODWARD,1RogerWoodward,3311,495,35867.11904964495,0.157753922658734
243,Andrew GILES,andrewjgiles,3319,55467,35908.62935721438,0.157753922658734
244,Jim CHALMERS,JEChalmers,3323,35156,35929.384510999094,0.157753922658734
245,Josh FRYDENBERG,JoshFrydenberg,3337,48928,36002.0275492456,0.157753922658734
246,Adam BANDT,AdamBandt,3338,45876,36007.216337691774,0.157753922658734
247,Brendan O'CONNOR,BOConnorMP,3345,47398,36043.53785681502,0.157753922658734
248,Andrew BARTLETT,AndrewBartlett,3346,22807,36048.7266452612,0.157753922658734
249,Petra CAMPBELL,PetraAu,3350,1346,36069.48179904591,0.157753922658734
250,Maurice BILLI,mauricebilli,3351,27150,36074.670587492095,0.157753922658734
251,Oliver YATES,_Oliver_Yates,3360,8890,36121.3696835077,0.157753922658734
252,Nick CHAMPION,NickChampionMP,3371,51791,36178.44635641567,0.157753922658734
253,Scott RICKARD,Rickard_Scott,3380,7579,36225.14545243127,0.157753922658734
254,Anthony ALBANESE,AlboMP,3382,48728,36235.52302932364,0.157753922658734
255,Tim WATTS,TimWattsMP,3392,47942,36287.41091378542,0.157753922658734
256,Brian MITCHELL,BrianMitchellMP,3408,26091,36370.43152892428,0.157753922658734
257,Tim HOLLO,timhollo,3450,20144,36588.36064366378,0.157753922658734
258,Adrian David CHEOK,adriancheok,3503,868,36863.366431311246,0.157753922658734
